views,comments,duration,num_speaker,languages,event,main_speaker,name,speaker_occupation,title,description
1106561,84,1201,1,32,TEDGlobal 2005,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,Founder of Wikipedia,The birth of Wikipedia,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia."
1096862,184,1140,1,29,TEDGlobal 2005,David Deutsch,David Deutsch: Chemical scum that dream of distant quasars,Quantum physicist,Chemical scum that dream of distant quasars,"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem."
2885999,507,1316,1,36,TEDGlobal 2005,Richard Dawkins,Richard Dawkins: Why the universe seems so strange,Evolutionary biologist,Why the universe seems so strange,"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe."
10000702,991,1177,1,45,TEDGlobal 2005,Barry Schwartz,Barry Schwartz: The paradox of choice,Psychologist,The paradox of choice,"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied."
3277740,612,1365,1,29,TEDGlobal 2005,Aubrey de Grey,Aubrey de Grey: A roadmap to end aging,Crusader against aging,A roadmap to end aging,"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted."
503517,74,952,1,21,TEDGlobal 2005,Iqbal Quadir,Iqbal Quadir: How mobile phones can fight poverty,"Founder, GrameenPhone",How mobile phones can fight poverty,"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development."
705389,58,773,1,26,TEDGlobal 2005,Jacqueline Novogratz,Jacqueline Novogratz: Invest in Africa's own solutions,Investor and advocate for moral leadership,Invest in Africa's own solutions,"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach."
580891,43,1080,1,21,TEDGlobal 2005,Sasa Vucinic,Sasa Vucinic: Why we should invest in a free press,Nonprofit venture capitalist,Why we should invest in a free press,"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds."""
809226,67,1125,1,24,TEDGlobal 2005,Ashraf Ghani,Ashraf Ghani: How to rebuild a broken state,President-elect of Afghanistan,How to rebuild a broken state,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan."
1053758,105,1280,1,20,TEDGlobal 2005,Peter Donnelly,Peter Donnelly: How juries are fooled by statistics,Mathematician; statistician,How juries are fooled by statistics,Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.
